STEP_NAME	CYC_COMPLEXITY
tasks/expenses-1-all-paid-in-eur/step-01-add-default-currency.xsl.js	2
tasks/expenses-1-all-paid-in-eur/step-02-normalize-currency.xsl.js	1
tasks/expenses-1-all-paid-in-eur/step-03-select-all-paid-in-eur.xsl.js	2
